ecosystem,package_name,prev_version,version,y_malicious,delta_num_requires_dist,delta_summary_len,delta_description_len,delta_num_classifiers,delta_has_author,delta_has_license,delta_num_dependencies,delta_num_dev_dependencies,delta_num_scripts,delta_num_keywords,delta_version_len,delta_version_num_dots,delta_version_has_prerelease
npm,@accordproject/concerto-analysis,3.22.1-20250825143753,3.23.0,0,,,0.0,,,,0.0,0.0,0.0,0.0,-15.0,0.0,-1.0
npm,@accordproject/concerto-analysis,3.23.0,3.23.1-20250827125749,0,,,0.0,,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0
npm,@accordproject/concerto-analysis,3.23.1-20250827125749,3.24.0,0,,,0.0,,,,0.0,0.0,0.0,0.0,-15.0,0.0,-1.0
npm,@accordproject/concerto-analysis,3.24.0,3.24.1-20250827130031,1,,,0.0,,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0
npm,@accordproject/concerto-linter,3.22.1-20250825143753,3.23.0,0,,,0.0,,,,0.0,0.0,0.0,0.0,-15.0,0.0,-1.0
npm,@accordproject/concerto-linter,3.23.0,3.23.1-20250827125749,0,,,0.0,,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0
npm,@accordproject/concerto-linter,3.23.1-20250827125749,3.24.0,0,,,0.0,,,,0.0,0.0,0.0,0.0,-15.0,0.0,-1.0
npm,@accordproject/concerto-linter,3.24.0,3.24.1-20250827130031,1,,,0.0,,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0
npm,@accordproject/concerto-linter-default-ruleset,3.22.1-20250825143753,3.23.0,0,,,0.0,,,,0.0,0.0,0.0,0.0,-15.0,0.0,-1.0
npm,@accordproject/concerto-linter-default-ruleset,3.23.0,3.23.1-20250827125749,0,,,0.0,,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0
npm,@accordproject/concerto-linter-default-ruleset,3.23.1-20250827125749,3.24.0,0,,,0.0,,,,0.0,0.0,0.0,0.0,-15.0,0.0,-1.0
npm,@accordproject/concerto-linter-default-ruleset,3.24.0,3.24.1-20250827130031,1,,,0.0,,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0
npm,@accordproject/concerto-metamodel,3.12.3,3.12.4,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@accordproject/concerto-metamodel,3.12.4,3.12.4-20250801101023,0,,,0.0,,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0
npm,@accordproject/concerto-metamodel,3.12.4-20250801101023,3.12.4-20250801113513,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@accordproject/concerto-metamodel,3.12.4-20250801113513,3.12.5-20250801113804,1,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@accordproject/concerto-types,3.22.1-20250825143753,3.23.0,0,,,0.0,,,,0.0,0.0,0.0,0.0,-15.0,0.0,-1.0
npm,@accordproject/concerto-types,3.23.0,3.23.1-20250827125749,0,,,0.0,,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0
npm,@accordproject/concerto-types,3.23.1-20250827125749,3.24.0,0,,,0.0,,,,0.0,0.0,0.0,0.0,-15.0,0.0,-1.0
npm,@accordproject/concerto-types,3.24.0,3.24.1-20250827130031,1,,,0.0,,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0
npm,@amagioss/js-timecode,0.0.1-security,1.3.7,1,,,-10.0,,,,0.0,0.0,1.0,0.0,-9.0,0.0,-1.0
npm,@aoflmkt/form-validators,0.0.1-security,100.100.106,1,,,-1.0,,,,1.0,0.0,2.0,0.0,-3.0,0.0,-1.0
